bank_name|bank_link|city|state|closing_date|assets|deposit|acquirer_notes
Sinclair National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sinclair.html|Gravette|AR|September 7, 2001|$30.7|$25.7|Delta Trust and Bank, Parkdale, AR agreed to assume all insured deposits. (BIF)
Superior Bank FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/superior.html|Hinsdale|IL|July 27, 2001|$2,300.0|$1,600.0|The Federal Deposit Insurance Corporation today transferred the insured deposits and substantially all the assets of Superior Bank, FSB, Hinsdale, IL, to Superior Federal, FSB (New Superior), a newly chartered, full-service mutual savings bank. The bank was closed earlier today by the Office of Thrift Supervision, and the FDIC was named conservator. (SAIF)
The Malta National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/malta.html|Malta|OH|May 3, 2001|$9.5|$8.8|North Valley Bank, Zanesville, OH agreed to assume all deposits. (BIF)
First Alliance Bank & Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstalliance.html|Manchester|NH|February 2, 2001|$18.4|$17.5|Southern New Hampshire Bank and Trust Company, Salem, NH agreed to assume all deposits.
Farmers Bank & Trust of Cheneyville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/farmers.html|Cheneyville|LA|December 17, 2002|$37.0|$33.1|Sabine State Bank and Trust Company, Many, LA agreed to assume all deposits.(BIF)
Bank of Alamo|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofalamo.html|Alamo|TN|November 8, 2002|$69.4|$55.3|The FDIC has approved the payout of the insured deposits of Bank of Alamo. (BIF)
AmTrade International Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrade.html|Atlanta|GA|September 30, 2002|$12.0|$10.2|The FDIC has approved the payout of the insured deposits of AmTrade International Bank. (BIF)
Universal Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/universal.html|Chicago|IL|June 27, 2002|$51.6|$40.0|Chicago Community Bank, Chicago, IL agreed to assume all deposits. (SAIF)
Connecticut Bank of Commerce|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbc.html|Stamford|CT|June 26, 2002|$398.6|$323.7|Hudson United Bank, Mahwah, NJ agreed to assume all deposits. (BIF)
New Century Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newcentury.html|Shelby Township|MI|March 28, 2002|$19.0|$18.0|The FDIC has approved the payout of the insured deposits of New Century Bank. (BIF)
Net 1st National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netfirst.html|Boca Raton|FL|March 1, 2002|$34.7|$23.9|Bank Leumi USA of New York, NY agreed to assume all deposits. (BIF)
NextBank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nextbank.html|Phoenix|AZ|February 7, 2002|$700.0|$554.0|The FDIC has approved the payout of the insured deposits of NextBank, N.A. (BIF)
Oakwood Deposit Bank Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oakwood.html|Oakwood|OH|February 1, 2002|$72.3|$60.2|The State Bank and Trust Company of Defiance, OH agreed to assume all deposits. (BIF)
Bank of Sierra Blanca|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sierrablanca.html|Sierra Blanca|TX|January 18, 2002|$10.8|$9.8|The Security State Bank of Pecos, Pecos, TX agreed to assume all deposits. (BIF)
Hamilton Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hamilton.html|Miami|FL|January 11, 2002|$1,300.0|$1,200.0|Israel Discount Bank of New York, New York, NY agreed to assume all deposits. (BIF)
Pulaski Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pulaski.html|Philadelphia|PA|November 14, 2003|$10.2|$9.2|Earthstar Bank, South Hampton, PA agreed to assume all deposits. (BIF)
First National Bank of Blanchardville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blanchardville.html|Blanchardville|WI|May 9, 2003|$35.0|$29.0|The Park Bank, Madison, WI agreed to assume all deposits. (BIF)
Southern Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/spbank.html|Torrance|CA|February 7, 2003|$1,000.0|$864.7|Beal Bank of Plano, TX agreed to assume all deposits. (BIF)
Bank of Ephraim|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ephraim.html|Ephraim|UT|June 25, 2004|$46.4|$45.2|Far West Bank, Provo, UT agreed to assume all deposits. (BIF)
Reliance Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/reliance.html|White Plains|NY|March 19, 2004|$30.3|$28.0|Union State Bank, Orangeburg, NY agreed to assume all deposits. (BIF)
Guaranty National Bank of Tallahassee|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gnb.html|Tallahassee|FL|March 12, 2004|$74.1|$66.9|Hancock Bank of Florida, Tallahassee, FL agreed to assume all deposits. (BIF)
Dollar Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dollar.html|Newark|NJ|February 14, 2004|$12.3|$9.8|The FDIC has approved the payout of the insured deposits of Dollar Savings Bank of Newark. (SAIF)
Miami Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/miamivalley.html|Lakeview|OH|October 4, 2007|$86.7|$76.0|The Citizens Banking Company, Sandusky, OH agreed to assume all deposits.
NetBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netbank.html|Alpharetta|GA|September 28, 2007|$2,500.0|$2,300.0|ING Bank, fsb (ING DIRECT) has agreed to assume $1.5 billion of the failed bank's insured non-brokered deposits.
Metropolitan Savings|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropolitansb.html|Pittsburgh|PA|February 2, 2007|$15.8|$12.0|Allegheny Valley Bank of Pittsburgh, PA has agreed to assume approximately $12.0 million of insured deposits.
Sanderson State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanderson.html|Sanderson|TX|December 12, 2008|$37.0|$27.9|Pecos County State Bank, Fort Stockton, TX assumed all deposits.
Haven Trust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust.html|Duluth|GA|December 12, 2008|$572.0|$515.0|Branch Banking and Trust Company, Winston-Salem, NC assumed all deposits.
First Georgia Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstga.html|Jackson|GA|December 5, 2008|$237.5|$197.4|United Bank, Zebulon, GA assumed all deposits.
PFF Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pff.html|Pomona|CA|November 21, 2008|$3,700.0|$2,400.0|In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of PFF Bank and Trust, and agreed to assume all deposits.
Downey Savings and Loan Association F.A.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/downey.html|Newport Beach|CA|November 21, 2008|$12,800.0|$9,700.0|In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of Downey Savings and Loan Association, and agreed to assume all deposits.
Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community.html|Loganville|GA|November 21, 2008|$681.0|$611.4|Bank of Essex, Tappahannock, VA agreed to assume all deposits.
Security Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitypacific.html|Los Angeles|CA|November 7, 2008|$561.1|$450.1|Pacific Western Bank, Los Angeles, California agreed to assume all deposits.
Franklin Bank SSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/franklinbank.html|Houston|TX|November 7, 2008|$5,100.0|$3,700.0|Prosperity Bank, El Campo, TX agreed to assume all deposits.
Freedom Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedom.html|Bradenton|FL|October 31, 2008|$287.0|$254.0|Fifth Third Bank of Grand Rapids, MI agreed to assume all deposits.
Alpha Bank & Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alpha.html|Alpharetta|GA|October 24, 2008|$354.1|$346.2|Stearns Bank National Association, St. Cloud, MN agreed to assume the non-brokered insured deposits.
Meridian Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/meridian.html|Eldred|IL|October 10, 2008|$39.18|$36.88|National Bank of Hillsboro, IL assumed all deposits.
Main Street Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet.html|Northville|MI|October 10, 2008|$98.0|$86.0|Monroe Bank & Trust of Monroe, MI agreed to assume all deposits.
Washington Mutual Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wamu.html|Henderson|NV|September 25, 2008|$307,000.0|$188,000.0|In a transaction facilitated by the FDIC, JPMorgan Chase acquired the banking operations of Washington Mutual Bank, and agreed to assume all deposits (approximately $188 billion).
Ameribank Inc.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ameribank.html|Northfork|WV|September 19, 2008|$115.0|$102.0|Pioneer Community Bank, Inc., Iaeger, West Virginia agreed to assume all deposits at Ameribank's WV branches; The Citizens Savings Bank, Martins Ferry, OH agreed to assume all deposits at Ameribank's Ohio branches.
Silver State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverstate.html|Henderson|NV|September 5, 2008|$2,000.0|$1,700.0|Nevada State Bank, Las Vegas, NV agreed to assume the non-brokered insured deposits.
Integrity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity.html|Alpharetta|GA|August 29, 2008|$1,100.0|$974.0|Regions Bank, Birmingham, AL agreed to assume all deposits.
Columbian Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbian.html|Topeka|KS|August 22, 2008|$752.0|$622.0|Citizens Bank and Trust Company, Chillicothe, MO agreed to assume all deposits.
First Priority Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstprioritybank.html|Bradenton|FL|August 1, 2008|$259.0|$227.0|SunTrust Bank, Atlanta, GA agreed to assume the non-brokered insured deposits.
First National Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbnv.html|Reno|NV|July 25, 2008|$3,400.0|$3,000.0|Mutual of Omaha Bank, Omaha, Nebraska agreed to assume all deposits (approximately $3.0 billion). On June 30, 2008, First National Bank of Arizona, Scottsdale, Arizona, merged with First National Bank of Nevada and was included in this action.
First Heritage Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage.html|Newport Beach|CA|July 25, 2008|$254.0|$233.0|Mutual of Omaha Bank, Omaha, NE agreed to assume all deposits (approximately $233 million).
IndyMac Bank F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/indymac.html|Pasadena|CA|July 11, 2008|$32,010.0|19,060.0|Non-brokered insured deposits and substantially all of the assets were transferred to IndyMac Federal Bank, F.S.B., Pasadena, California. The FDIC was named Conservator.
First Integrity Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/first-integrity-bank.html|Staples|MN|May 30, 2008|$54.7|$50.3|First International Bank and Trust, Watford City, ND agreed to assume all deposits.
