bank_name|bank_fdic_link|city|state|fdic_cert|aquiring_institution|closing_date|funds
Almena State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/almenastate.html|Almena|KS|15426|Equity Bank|October 23, 2020|10538
First City Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcitybank.html|Fort Walton Beach|FL|16748|United Fidelity Bank, fsb|October 16, 2020|10537
The First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-wv.html|Barboursville|WV|14361|MVB Bank, Inc.|April 3, 2020|10536
Ericson State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ericsonstate.html|Ericson|NE|18265|Farmers and Merchants Bank|February 14, 2020|10535
City National Bank of New Jersey|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citynatl.html|Newark|NJ|21111|Industrial Bank|November 1, 2019|10534
Resolute Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/resolute.html|Maumee|OH|58317|Buckeye State Bank|October 25, 2019|10533
Louisa Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/louisacomm.html|Louisa|KY|58112|Kentucky Farmers Bank Corporation|October 25, 2019|10532
The Enloe State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/enloe.html|Cooper|TX|10716|Legend Bank, N. A.|May 31, 2019|10531
Washington Federal Bank for Savings|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wafedbank.html|Chicago|IL|30570|Royal Savings Bank|December 15, 2017|10530
The Farmers and Merchants State Bank of Argonia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fmstatebank.html|Argonia|KS|17719|Conway Bank|October 13, 2017|10529
Fayette County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fayettecounty.html|Saint Elmo|IL|1802|United Fidelity Bank, fsb|May 26, 2017|10528
Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty.html|Milwaukee|WI|30003|First-Citizens Bank & Trust Company|May 5, 2017|10527
First NBC Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnbc.html|New Orleans|LA|58302|Whitney Bank|April 28, 2017|10526
Proficio Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/proficio.html|Cottonwood Heights|UT|35495|Cache Valley Bank|March 3, 2017|10525
Seaway Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/seaway.html|Chicago|IL|19328|State Bank of Texas|January 27, 2017|10524
Harvest Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/harvestcomm.html|Pennsville|NJ|34951|First-Citizens Bank & Trust Company|January 13, 2017|10523
Allied Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alliedbank.html|Mulberry|AR|91|Today's Bank|September 23, 2016|10522
The Woodbury Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/woodburybank.html|Woodbury|GA|11297|United Bank|August 19, 2016|10521
First CornerStone Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcornerstone.html|King of Prussia|PA|35312|First-Citizens Bank & Trust Company|May 6, 2016|10520
Trust Company Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/trustco.html|Memphis|TN|9956|The Bank of Fayette County|April 29, 2016|10519
North Milwaukee State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nmsbank.html|Milwaukee|WI|20364|First-Citizens Bank & Trust Company|March 11, 2016|10518
Hometown National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hometownnatl.html|Longview|WA|35156|Twin City Bank|October 2, 2015|10517
The Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofgeorgia.html|Peachtree City|GA|35259|Fidelity Bank|October 2, 2015|10516
Premier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-co.html|Denver|CO|34112|United Fidelity Bank, fsb|July 10, 2015|10515
Edgebrook Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/edgebrook.html|Chicago|IL|57772|Republic Bank of Chicago|May 8, 2015|10514
Doral Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/doral.html|San Juan|PR|32102|Banco Popular de Puerto Rico|February 27, 2015|10513
Capitol City Bank & Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitolcity.html|Atlanta|GA|33938|First-Citizens Bank & Trust Company|February 13, 2015|10512
Highland Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/highlandcomm.html|Chicago|IL|20290|United Fidelity Bank, fsb|January 23, 2015|10511
First National Bank of Crestview|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbcrestview.html|Crestview|FL|17557|First NBC Bank|January 16, 2015|10510
Northern Star Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northernstar.html|Mankato|MN|34983|BankVista|December 19, 2014|10509
Frontier Bank, FSB D/B/A El Paseo Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elpaseo.html|Palm Desert|CA|34738|Bank of Southern California, N.A.|November 7, 2014|10508
The National Republic Bank of Chicago|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nrbc.html|Chicago|IL|916|State Bank of Texas|October 24, 2014|10507
NBRS Financial|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nbrs.html|Rising Sun|MD|4862|Howard Bank|October 17, 2014|10506
GreenChoice Bank, fsb|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greenchoice.html|Chicago|IL|28462|Providence Bank, LLC|July 25, 2014|10505
Eastside Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/eastside.html|Conyers|GA|58125|Community & Southern Bank|July 18, 2014|10504
The Freedom State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomstate.html|Freedom|OK|12483|Alva State Bank & Trust Company|June 27, 2014|10503
Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleybankfl.html|Fort Lauderdale|FL|21793|Landmark Bank, National Association|June 20, 2014|10501
