bank_link|pr_id|pr_link
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sinclair.html|PR-063-2001|https://www.fdic.gov/news/press-releases/2001/pr6301.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/superior.html|PR-052-2001|https://www.fdic.gov/news/press-releases/2001/pr5201.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/malta.html|PR-032-2001|https://www.fdic.gov/news/press-releases/2001/pr3201.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstalliance.html|PR-011-2001|https://www.fdic.gov/news/press-releases/2001/pr1101.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/farmers.html|PR-131-2002|https://www.fdic.gov/news/press-releases/2002/pr13102.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofalamo.html|PR-120-2002|https://www.fdic.gov/news/press-releases/2002/pr12002.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrade.html|PR-100-2002|https://www.fdic.gov/news/press-releases/2002/pr10002.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/universal.html|PR-081-2002|https://www.fdic.gov/news/press-releases/2002/pr8102.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/universal.html|PR-076-2002|https://www.fdic.gov/news/press-releases/2002/pr7602.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbc.html|PR-080-2002|https://www.fdic.gov/news/press-releases/2002/pr8002.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbc.html|PR-074-2002|https://www.fdic.gov/news/press-releases/2002/pr7402.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newcentury.html|PR-38-2002|https://www.fdic.gov/news/press-releases/2002/pr3802.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netfirst.html|PR-26-2002|https://www.fdic.gov/news/press-releases/2002/pr2602.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nextbank.html|PR-16-2002|https://www.fdic.gov/news/press-releases/2002/pr1602.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oakwood.html|PR-11-2002|https://www.fdic.gov/news/press-releases/2002/pr1102.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oakwood.html|PR-10-2002|https://www.fdic.gov/news/press-releases/2002/pr1002.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sierrablanca.html|PR-5-2002|https://www.fdic.gov/news/press-releases/2002/pr0502.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hamilton.html|PR-3-2002|https://www.fdic.gov/news/press-releases/2002/pr0302.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pulaski.html|PR-107-2003|https://www.fdic.gov/news/press-releases/2003/pr10703.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blanchardville.html|PR-47-2003|https://www.fdic.gov/news/press-releases/2003/pr4703.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blanchardville.html|PR-48-2003|https://www.fdic.gov/news/press-releases/2003/pr4803.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/spbank.html|PR-11-2003|https://www.fdic.gov/news/press-releases/2003/pr1103.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ephraim.html|PR-69-2004|https://www.fdic.gov/news/press-releases/2004/pr6904.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/reliance.html|PR-24-2004|https://www.fdic.gov/news/press-releases/2004/pr2404.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gnb.html|PR-21-2004|https://www.fdic.gov/news/press-releases/2004/pr2104.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gnb.html|PR-23-2004|https://www.fdic.gov/news/press-releases/2004/pr2304.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dollar.html|PR-13-2004|https://www.fdic.gov/news/press-releases/2004/pr1304.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/miamivalley.html|PR-83-2007|https://www.fdic.gov/news/press-releases/2007/pr07083.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netbank.html|PR-81-2007|https://www.fdic.gov/news/press-releases/2007/pr07081.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropolitansb.html|PR-9-2007|https://www.fdic.gov/news/press-releases/2007/pr07009.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanderson.html|PR-135-2008|https://www.fdic.gov/news/press-releases/2008/pr08135.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust.html|PR-134-2008|https://www.fdic.gov/news/press-releases/2008/pr08134.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstga.html|PR-132-2008|https://www.fdic.gov/news/press-releases/2008/pr08132.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pff.html|PR-124-2008|https://www.fdic.gov/news/press-releases/2008/pr08124.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/downey.html|PR-124-2008|https://www.fdic.gov/news/press-releases/2008/pr08124.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community.html|PR-123-2008|https://www.fdic.gov/news/press-releases/2008/pr08123.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitypacific.html|PR-114-2008|https://www.fdic.gov/news/press-releases/2008/pr08114.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/franklinbank.html|PR-113-2008|https://www.fdic.gov/news/press-releases/2008/pr08113.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedom.html|PR-109-2008|https://www.fdic.gov/news/press-releases/2008/pr08109.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alpha.html|PR-106-2008|https://www.fdic.gov/news/press-releases/2008/pr08106.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/meridian.html|PR-99-2008|https://www.fdic.gov/news/press-releases/2008/pr08099.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet.html|PR-98-2008|https://www.fdic.gov/news/press-releases/2008/pr08098.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wamu.html|PR-85-2008|https://www.fdic.gov/news/press-releases/2008/pr08085.html
